_id,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined,Latitude,Longitude,unique_id,area,score
59,10776013,105136538.0,1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Restaurant,550 WELLINGTON ST W,Pass,3,,2023-03-14,,,,,43.64284,-79.40167,a55324de40e5dbb003729fc7b37b1f41,other,0.5
64,10776014,105136543.0,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Restaurant,550 WELLINGTON ST W,Pass,2,,2023-03-14,,,,,43.64284,-79.40167,8217f91236ca0fbd66a50d706b029168,other,0.5
69,10500438,105025047.0,1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,Pass,2,Operate food premise - equipment not constructed to permit maintenance in sanitary condition - Sec. 9,2022-08-19,M - Minor,Notice to Comply,,,43.68725,-79.43842,0d3140774f71587d4386e884b82fef6a,other,0.742
77,10814320,105395972.0,1 ZERO 2 DELIGHTS,Food Take Out,102 FORT YORK BLVD,Pass,1,,2024-06-07,,,,,43.63988,-79.39731,74cf172fb0f110cd7371a29933cbbf19,harbourfront,0.5
78,10556602,105081684.0,100% Korean,Food Take Out,4779 STEELES AVE E,Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,2022-11-30,NA - Not Applicable,Notice to Comply,,,43.82529,-79.29867,bab7ff7b03d54e26255ca00c5b85fb8c,other,0.454
81,10588973,105026969.0,100% SALVADORENO,Restaurant,612 TRETHEWEY DR,Pass,2,OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH SOAP OR DETERGENT - SEC. 24(3)(D)  ,2022-08-22,S - Significant,Corrected During Inspection,,,43.69724,-79.4942,50a3e87e386103903215373d1afd0d79,other,0.47
89,10356847,105022112.0,1000 VARIETY,Food Store (Convenience/Variety),1000 PAPE AVE,Pass,1,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2022-08-12,M - Minor,Notice to Comply,,,43.68829,-79.34863,2f75f23a7d6f644d0f4a94d81e70068f,other,0.223
90,10808982,105361163.0,1001 XINJIANG CUISINE,Restaurant,"1883 MCNICOLL AVE, Unit-1-6",Pass,3,Fail to protect against entry of pests - Sec. 13(1),2024-04-15,M - Minor,Notice to Comply,,,43.81154,-79.30226,470396cc58efacae9607d6a39728e3cf,other,0.455
91,10764483,105043452.0,10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-09-13,M - Minor,Notice to Comply,,,43.78145,-79.27913,323c9405e49a2298f9fa7b02ad839a31,other,0.653
98,10814160,105394947.0,108 T.O FOOTLONG HOT DOGS,Food Take Out,1 BLUE JAYS WAY,Pass,2,,2024-06-06,,,,,43.64168,-79.39012,09d3fd947b90311a04d6bfd909ceb9c7,harbourfront,0.5
99,10808571,105358415.0,109 PRODUCTION KITCHEN,Commissary,1 BLUE JAYS WAY,Pass,3,,2024-04-11,,,,,43.64168,-79.39012,b24c3bfe35700c6abc7c0e413465aaaa,harbourfront,0.5
100,10715579,105080781.0,10XTO,Food Take Out,107 PRINCES BLVD,Pass,2,,2022-12-01,,,,,43.63375,-79.41207,a986bd6e62b2971c266175a792fae842,other,0.5
101,10441981,105035776.0,10tation Event Catering,Food Caterer,232 NORSEMAN ST,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,2022-09-08,M - Minor,Corrected During Inspection,,,43.63225,-79.52951,fe20b8a39dec6183d43f7e0d5e95f1d1,other,0.414
109,10773678,105116800.0,COTA HEALTH KITCHEN,Community Kitchen (Meal Program),11 MACEY AVE,Pass,2,,2023-02-07,,,,,43.69275,-79.28673,b4eab3cb1c53a3c0f2c7442faa697745,other,0.5
120,10781442,105175872.0,11:59,Restaurant,"70 TEMPERANCE ST, Unit-1",Pass,2,,2023-05-18,,,,,43.65051,-79.38221,6ce7c6fc19cee06e4629f2833124cf37,downtown,0.5
123,10589964,105052263.0,12 TABLES,Restaurant,1552 AVENUE RD,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2022-10-07,M - Minor,Notice to Comply,,,43.72334,-79.41635,7e5afb26f5f596f6fb1eeb912468376d,other,0.238
146,10770298,105087798.0,1265 BISTRO,Restaurant,"1265 MILITARY TRL, Flr-BASEMENT",Pass,2,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,2022-12-13,S - Significant,Corrected During Inspection,,,43.7839,-79.18629,d6832235377d908a9eb3b8ddbdf7109a,other,0.65
147,10812827,105386422.0,13 SUNS ETHIOPIAN VEGAN CUISINE INC,Restaurant,"74 HYMUS RD, Unit-4",Pass,3,,2024-05-24,,,,,43.72007,-79.28401,cba7b1d60801bad9421076e187d830df,other,0.5
148,9348578,105103887.0,147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,Pass,3,,2023-01-17,,,,,43.76273,-79.45402,8e36edeeb0db4500618726ed9caf792a,other,0.5
153,9013060,105034814.0,149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,Pass,3,,2022-09-07,,,,,43.63816,-79.42864,50275e60090705c8d767c4b122964897,other,0.5
160,10742080,105006096.0,156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN CEILING IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2022-07-14,M - Minor,Notice to Comply,,,43.67005,-79.39334,589c995a318d7faa4bbdc3b551e6341f,bloor,0.218
167,10790159,105229788.0,1611 STUDIOS,Food Take Out,1611 DUNDAS ST W,Pass,2,,2023-08-14,,,,,43.64968,-79.4353,ce7900a6e755846bbb5c736607c874a2,other,0.5
169,10764599,105044251.0,1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",Pass,2,Handwashing stations not conveniently accessible by food handlers - Sec. 7(3)(c)   ,2022-09-22,S - Significant,Notice to Comply,,,43.78538,-79.27752,fbbd352916c27742e3388e115f1ac9a4,other,0.505
176,10814724,105398459.0,17 BALDWIN,Restaurant,17 BALDWIN ST,Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,2024-06-12,NA - Not Applicable,Notice to Comply,,,43.65606,-79.39288,b8456de028ea79818b2790a398057a9c,other,0.385
179,10776776,105142682.0,17 TILES,Food Store (Convenience/Variety),"556 YONGE ST, Bldg-FLOOR 2-3",Pass,2,,2023-03-23,,,,,43.66453,-79.38464,391cdca06a0f9c450314cc09a89f6f25,other,0.5
181,10553551,105066376.0,1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-11-04,M - Minor,Notice to Comply,,,43.70464,-79.25281,da959ad8850f04794f753fad1064b8e1,other,0.604
183,10772399,105106162.0,18 FEET,Restaurant,364 HURON ST,Pass,2,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,2023-01-19,S - Significant,Corrected During Inspection,,,43.66438,-79.40053,770c729f5c8503add322bf8311910175,bloor,0.648
188,10383994,,18 SMOKE SHOP & VARIETY,Food Store (Convenience/Variety),222 SPADINA AVE,Pass,O,,,,,,,43.65141,-79.39758,0bfa1c2e8e8dd8ba63ce710e1bef4ddc,chinatown,0.5
189,10767899,105308398.0,1800 BAR & LOUNGE TORONTO,Cocktail Bar / Beverage Room,"1800 DAVENPORT RD, Unit-4",Pass,2,,2024-01-15,,,,,43.67137,-79.45186,a42790dace732d997a796fb60615efd6,other,0.5
191,10464953,,1810 DANFORTH AVENUE SOCIAL CLUB,Restaurant,1810 DANFORTH AVE,Pass,1,,,,,,,43.68467,-79.31856,a6181740dd367efcdda1398739a37c51,other,0.5
192,10767076,105062950.0,1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,Pass,3,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),2022-10-27,M - Minor,Corrected During Inspection,,,43.65039,-79.37902,d94ec4a3f266c99d3e3b171d29534493,downtown,0.241
197,10764683,105044889.0,19 EATERY,Restaurant,19C FINCH AVE W,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-09-23,M - Minor,Notice to Comply,,,43.77914,-79.4174,5aadcf81e8d2bf446b8263f46f7d28f2,other,0.644
209,10806585,105344308.0,1910 LA MEXICANA,Restaurant,993.5 BLOOR ST W,Pass,2,,2024-03-15,,,,,43.66097,-79.4299,f3714c79d18b3138dfa61575db087764,other,0.5
211,10741800,105148566.0,1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2023-04-03,M - Minor,Notice to Comply,,,43.73023,-79.46979,d3f3f73d6334012a768a904bd5a686dc,other,0.209
222,10447525,105000374.0,19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,Pass,2,,2022-07-04,,,,,43.65196,-79.59756,c8f0ad72d55abb762d7225895758fd82,other,0.5
226,10318628,105093295.0,19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,Pass,2,,2022-12-29,,,,,43.68279,-79.46394,33d12efd229e0b2c30f9b75f90a0cce4,other,0.5
230,10495816,105018407.0,2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,Pass,2,Food premise not maintained to permit cleaning of ceilings - Sec. 7(1)(d) ,2022-08-08,M - Minor,Notice to Comply,,,43.67276,-79.44105,d880e5a9cb7b51d4deed3ace210879a6,other,0.36
234,10754807,105062857.0,2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,2022-10-27,M - Minor,Notice to Comply,,,43.68984,-79.47542,6fe64a1fc21865c65b3b46fec8d54d0c,other,0.453
249,10752269,105016403.0,2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,Pass,2,,2022-08-02,,,,,43.6603,-79.43475,e7a6c9a62682753f4e772da296c075b4,other,0.5
258,9000031,105137806.0,2-4-1 PIZZA,Food Take Out,759 JANE ST,Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,2023-03-15,NA - Not Applicable,Notice to Comply,,,43.67153,-79.49335,113aba9c0639cc7540b93cefa704a6dd,other,0.419
309,10294608,105107533.0,2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,Pass,2,,2023-01-23,,,,,43.66057,-79.43258,a3ef9fa8a9eb9989a9b8839446b35565,other,0.5
318,10761328,105022758.0,21 SEVEN MARKET,Food Store (Convenience/Variety),1000 BLOOR ST W,Pass,1,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-08-15,M - Minor,Notice to Comply,,,43.66093,-79.43038,5e93dbd9ff6ee37092001063ae192eb3,other,0.639
320,10765264,105049035.0,225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,2022-09-30,S - Significant,Notice to Comply,,,43.76711,-79.18501,021dae74e506dba1a8e098e75b8b63e3,other,0.225
325,10399648,,2257029 ONTARIO INC.,Mobile Food Preparation Premises,235 QUEENS QUAY W,Pass,2,,,,,,,43.63912,-79.38289,857efab8c7f942e57c5614a62f3eea9a,harbourfront,0.5
326,10559262,105090757.0,241 PIZZA,Food Take Out,142 PARLIAMENT ST,Pass,3,Food premise not maintained with walls in good repair in food-handling room - Sec. 7(1)(g)  ,2022-12-20,M - Minor,Notice to Comply,,,43.6546,-79.36402,437af638e7b367a1360ecfe6a7afeabd,other,0.616
367,10405652,104995840.0,244 PIZZA & WINGS,Food Take Out,1166 WESTON RD,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-06-23,M - Minor,Notice to Comply,,,43.6872,-79.49055,3fe553c0c68e95957f1bcbf3a47b6474,other,0.64
381,10656552,104960497.0,24SEVEN LOUNGE,Restaurant,106 HUMBER COLLEGE BLVD,Pass,2,,2022-06-21,,,,,43.7312,-79.60061,4d827ab114be65c7e97b4c607215958c,other,0.5
385,10600496,105050382.0,3 EGGS ALL DAY PUB & GRILL,Restaurant,936 EGLINTON AVE W,Pass,3,Operate food premise - appliances not arranged to permit maintenance in sanitary condition - Sec. 9,2022-10-04,M - Minor,Notice to Comply,,,43.70059,-79.42851,9272b5cab0c44c73b0192286a96eab97,other,0.706
398,10794907,105259420.0,3 ELEVEN INDIAN BAR & KITCHEN,Restaurant,"1988 AVENUE RD, Flr-2",Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,2023-10-23,M - Minor,Notice to Comply,,,43.73536,-79.4203,6b1d2224fae77da3b8b91c61f9b4a90c,other,0.235
399,10301731,105003649.0,3 JIT VARIETY,Food Store (Convenience/Variety),1452 BLOOR ST W,Pass,2,FAIL TO MAINTAIN SANITARY FACILITY IN ACCORDANCE WITH BUILDING CODE DESIGN REQUIREMENTS - SEC.  25(1)  ,2022-07-11,M - Minor,Notice to Comply,,,43.65718,-79.44885,be7584799ebc5e56a25bd8c8ae06d672,other,0.462
407,9000097,105026860.0,30 UP CLUB,Private Club,22 DORCHESTER AVE,Pass,2,,2022-08-23,,,,,43.62153,-79.5179,0f2a56c14c9b6c42d389237e45479075,other,0.5
410,10428037,105135072.0,3030,Restaurant,3030 DUNDAS ST W,Pass,3,Operate food premise - equipment not constructed to permit maintenance in sanitary condition - Sec. 9,2023-03-09,M - Minor,Notice to Comply,,,43.66583,-79.4705,3315f1d1733ea38374c8d9c2c3416c6e,other,0.724
419,10800159,105295120.0,33'S DELIGHTS EATERY,Restaurant,344 QUEEN ST E,Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,2023-12-12,NA - Not Applicable,Notice to Comply,,,43.65558,-79.3646,b2317d36114c6e13a4d5e7df214a7f38,other,0.411
423,10330988,104999211.0,338 VEGETABLE & FRUIT,Food Store (Convenience/Variety),631 GERRARD ST E,Pass,1,,2022-06-29,,,,,43.66561,-79.35074,e6e46f0d5bbebaaad77f45b2ab36fe80,other,0.5
424,10791910,105240890.0,34 CAFE,Restaurant,"2737 KEELE ST, Unit-26",Pass,3,Operate food premise - fail to provide equipment for cleaning and sanitizing utensils as required - Sec. 18,2023-08-30,S - Significant,Notice to Comply,,,43.72581,-79.48061,98c5f94864715583d9db471f8bad334c,other,0.29
433,9003137,104993354.0,360 RESTAURANT,Restaurant,"301 FRONT ST W, CN TOWER",Pass,2,,2022-06-21,,,,,43.64372,-79.38844,3e587acce7be4ecad3a320e94d494ec1,downtown,0.5
439,10759820,105013041.0,362 THE EAST MALL MART,Food Store (Convenience/Variety),"362 THE EAST MALL, Bldg--",Pass,1,,2022-07-27,,,,,43.64259,-79.55827,07583d471f22a51c8b72ff46bf9d5e9c,other,0.5
441,10798930,105286664.0,367 CAFE,Restaurant,367 DONLANDS AVE,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2023-11-23,M - Minor,Notice to Comply,,,43.69323,-79.34216,f30cd5b6923fd45c6658c869ae42523c,other,0.638
442,10764294,105042106.0,369 MART,Food Store (Convenience/Variety),"2111 JANE ST, Unit-11",Pass,O,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-09-19,M - Minor,Notice to Comply,,,43.71898,-79.5078,09898cb784f88a5f703904257da075bc,other,0.617
446,10729436,105063125.0,3A FOOD PRODUCTS,Food Take Out,"23 MILLIKEN BLVD, Unit-B18",Pass,2,,2022-10-28,,,,,43.80414,-79.29508,a1b22516017aacebf4ba15dffb37bbfe,other,0.5
449,10785924,105203893.0,3A NOODLE,Restaurant,3875 DON MILLS RD,Pass,2,,2023-06-30,,,,,43.80776,-79.35719,b94d029a1c1652fc671de7091f389ae8,other,0.5
453,10612709,105019437.0,3J'S MILK AND VARIETY,Food Store (Convenience/Variety),2993 ISLINGTON AVE,Pass,1,,2022-08-09,,,,,43.75909,-79.57113,45ebac0b2fc7870c946ff12dea3f9c4c,other,0.5
454,10504536,105087260.0,4 Season Farms,Food Store (Convenience/Variety),1095 O'CONNOR DR,Pass,1,,2022-12-12,,,,,43.71027,-79.30887,1db393abf997de0e6bfd9dcd6cfa53c6,other,0.5
455,10657224,105057491.0,4 YOUR CONVENIENCE,Food Store (Convenience/Variety),1990 EGLINTON AVE W,Pass,1,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,2022-10-18,M - Minor,Notice to Comply,,,43.69492,-79.45493,7a31b01f1909413827bb961ef330cf11,other,0.643
456,10773130,105112199.0,4-SEASONS INDIAN CUISINE,Restaurant,1519 BIRCHMOUNT RD,Pass,2,SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ,2023-01-31,S - Significant,Notice to Comply,,,43.75938,-79.28936,5119dc5ca0cd0c2792dbe779a72c0a01,other,0.476
459,10796228,105267608.0,40 FIRVALLEY CRT COMMUNITY KITCHEN,Community Kitchen (Meal Program),40 FIRVALLEY CRT,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,2023-10-18,S - Significant,Corrected During Inspection,,,43.70359,-79.27952,5c1a31a33320f8732f277f8d991e2945,other,0.257
460,10598546,105077195.0,416 COMMUNITY SUPPORT FOR WOMEN,Food Bank,416 DUNDAS ST E,Pass,1,,2022-11-22,,,,,43.65923,-79.36695,74219d0bf59b1e794fd55f3cf51e8464,other,0.5
468,10512315,105059328.0,416 SNACK BAR,Restaurant,181 BATHURST ST,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,2022-10-20,M - Minor,Notice to Comply,,,43.64755,-79.404,a3ce6a9ae602cdab83da727e4ecf7e70,queenwest,0.599
471,10777262,105146525.0,416 SNACK BAR SHORT TURN,Restaurant,576 QUEEN ST W,Pass,3,,2023-03-30,,,,,43.64728,-79.4036,6ec57dc07b8e8b9dc973767d922c0518,queenwest,0.5
476,10814917,105399690.0,416 SOCIAL CLUB,Restaurant,718 COLLEGE ST,Pass,2,,2024-06-13,,,,,43.65536,-79.41872,62a367583f3ac7a8f7fcb6ca6d1104b9,littleitaly,0.5
477,10571100,105083970.0,43 DOWN - SHERATON HOTEL,Restaurant,123 QUEEN ST W,Pass,2,,2022-12-06,,,,,43.65126,-79.38437,7dfae3db05b41bb8c72f4e1ed30547df,downtown,0.5
480,10739955,105117003.0,44 TORONTO,Cocktail Bar / Beverage Room,"627 KING ST W, Unit-P1/P2",Pass,2,,2023-02-09,,,,,43.64398,-79.40141,56025405e68110370f9931ed7604c3a7,other,0.5
482,10809881,105367594.0,450/ ROOMS COFFEE,Food Take Out,450 DUFFERIN ST,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,2024-04-24,M - Minor,Notice to Comply,,,43.64519,-79.43012,29b3c89df5e0a0c6e9a3b6f125699d3e,other,0.397
484,10767609,105067397.0,4544 CHARCOAL GRILL,Restaurant,"4544 DUFFERIN ST, Unit-4-5",Pass,3,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,2022-11-03,M - Minor,Notice to Comply,,,43.76615,-79.46778,cb14a6b8a5cd8647a9dcb1eede38214d,other,0.63
487,10767609,105143034.0,Moon/4544 CHARCOAL GRILL,Restaurant,"4544 DUFFERIN ST, Unit-4-5",Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),2023-03-23,S - Significant,Corrected During Inspection,,,43.76615,-79.46778,da985db71759b8b4c101f3934e15f189,other,0.268
495,10544572,105087262.0,4C Broast Chicken,Restaurant,1093 O'CONNOR DR,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,2022-12-12,M - Minor,Notice to Comply,,,43.71022,-79.30892,3fcb0a3b12b208e82b505bcd3cf05c06,other,0.427
504,10793647,105251602.0,4LIFE NATURAL FOODS,Supermarket,210 AUGUSTA AVE,Pass,2,,2023-09-18,,,,,43.65467,-79.4024,829898b2f3cbf829526b9ca5a454a65e,kensington,0.5
506,10612134,105019441.0,4U MILK VARIETY,Food Store (Convenience/Variety),2987 ISLINGTON AVE,Pass,1,Fail to protect against entry of pests - Sec. 13(1),2022-08-09,M - Minor,Notice to Comply,,,43.7592,-79.5706,fc811fbf6c465a66b2098c8bc268ea91,other,0.421
507,10550883,104981433.0,5  POINTS BAR & GRILL,Restaurant,636 VAUGHAN RD,Pass,3,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,2022-06-21,S - Significant,Corrected During Inspection,,,43.69269,-79.44145,69ba37d7a3dfad98895d8b45e6d589ac,other,0.653
521,10550144,105061408.0,5 ELEMENTS ESPRESSO BAR,Restaurant,131 AVENUE RD,Pass,3,Fail to protect food from contamination or adulteration - Sec. 26(1) ,2022-10-25,C - Crucial,Notice to Comply,,,43.6738,-79.39587,0dd92de716db7c60559f909d97939ad2,annex,0.141
529,10811979,105381485.0,5 S BAKERY,Cafeteria - Public Access,"6 DENISON AVE, Unit-6",Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,2024-05-16,NA - Not Applicable,Notice to Comply,,,43.64814,-79.40087,c787e0b7088afcb1953f2d6b00803d72,queenwest,0.409
530,10617002,105025606.0,5 SPICE DINING,Restaurant,2826 MARKHAM RD,Pass,3,USE UTENSILS NOT IN GOOD REPAIR - SEC. 8(1)(B) ,2022-08-19,S - Significant,Notice to Comply,,,43.82307,-79.24781,dd7aa713a55ff348de1594ae1ebed3ee,other,0.32
555,10756910,104994353.0,519 COMMUNITY KITCHEN( MAIN FLOOR AND SECOND FLOOR),Community Kitchen (Meal Program),519 CHURCH ST,Pass,3,,2022-06-21,,,,,43.66656,-79.38095,09eb24969b1f2d8dcd6b4e956545f469,other,0.5
560,9000116,105142608.0,521 CAFE,Restaurant,521 DANFORTH AVE,Pass,1,,2023-03-23,,,,,43.67804,-79.34821,5a540b0f9e73bc1de02c23f57ed1c62e,other,0.5
561,10453569,105064038.0,649 Mega Convenience,Food Store (Convenience/Variety),"5651 STEELES AVE E, Unit-22",Pass,1,,2022-10-31,,,,,43.83219,-79.26675,3779338167bdfbff3288e3c0d772add5,other,0.5
562,10504878,105121362.0,TCHC COMMUNITY KITCHEN,Community Kitchen (Meal Program),682 WARDEN AVE,Pass,2,USE UTENSILS NOT OF SOUND AND TIGHT CONSTRUCTION - SEC. 8(1)(A) ,2023-02-14,S - Significant,Notice to Comply,,,43.70596,-79.27905,55dd4343cdf296b3b05b48f961c07c4c,other,0.521
578,10799554,105290913.0,68Â°C STONE & GRILL,Restaurant,285 DUNDAS ST W,Pass,3,Operate food premise - appliances not arranged to permit cleaning - Sec. 9,2023-12-01,M - Minor,Notice to Comply,,,43.65422,-79.39091,dc56f350b3aa04124c2556bd47a30924,other,0.507
585,10750703,105112158.0,6IX DONUTZ,Food Court Vendor,45 FOUR WINDS DR,Pass,1,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,2023-01-31,M - Minor,Notice to Comply,,,43.76333,-79.49967,0a8bc3b23276883b95409249a847d590,other,0.388
591,10802978,105317219.0,6IX PIZZA INC,Food Take Out,2070 QUEEN ST E,Pass,2,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM EQUIPMENT NOT REGULARLY USED - SEC. 7(1)(F)   ,2024-01-29,M - Minor,Notice to Comply,,,43.67092,-79.29712,798d5ebc8d2b91e77fee444e545b0c3a,other,0.678
593,10784045,105190896.0,6IX WINGS,Food Take Out,"2950 BIRCHMOUNT RD, Unit-6A",Pass,2,,2023-06-12,,,,,43.79956,-79.30685,501acbace035b5b0b82619bb8d5554f8,other,0.5
