_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2021,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
17,,Billy Bishop Toronto City Airport,Transportation,416-203-6942,,https://www.billybishopairport.com/,8491775,,8491775,2,Eireann Quay,2 Eireann Quay,M5V 1A1,former Toronto,Toronto,Island Airport,108005,20145542,4,,,,19008,Spadina-Fort York,20,10,3341446,"Located minutes from the downtown core, Billy Bishop Airport serves nearby Canadian and American cities.",Y,"{""coordinates"": [[-79.39451, 43.62891]], ""type"": ""MultiPoint""}"
18,,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,14077650,,14077650,1,Brimley Rd S,1 Brimley Rd S,M1M 3W3,Scarborough,Toronto,Bluffer's Park,106001,30034748,1,,,,10496,Scarborough Southwest,36,20,3837195,"Providing a beautiful backdrop for locals and visitors alike, the Bluffs are one of Toronto's great natural wonders.",Y,"{""coordinates"": [[-79.23476772, 43.70820476]], ""type"": ""MultiPoint""}"
19,,BMO Field,Sports / Entertainment Venue,416-815-5982,,https://www.bmofield.com/,20229243,,20229243,170,Princes' Blvd,170 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE BMO Field,107007,20231258,170,,,,20228,Spadina-Fort York,19,10,4163950,"BMO Field is home to the Toronto FC (Major League Soccer), Canada's national soccer team, and the home of the Toronto Argonauts (Canadian Football League).",Y,"{""coordinates"": [[-79.41864, 43.63315]], ""type"": ""MultiPoint""}"
20,None,Bubble Planet,Attraction,None,None,https://bubble-planet.com/toronto/,,None,,30,Hanover Rd,30 Hanover Rd,M3K 0E2,North York,Toronto,None,,,,None,None,None,,York Centre,9,6,,"Bubble Planet is an immersive experience featuring VR technology, illusions, ball pits and more.",None,"{""coordinates"": [[-79.46831, 43.73808]], ""type"": ""MultiPoint""}"
21,,Buddies in Bad Times Theatre,Performing Arts,416-975-8555,,https://buddiesinbadtimes.com/,7730175,,7730175,12,Alexander St,12 Alexander St,M4Y 1B4,former Toronto,Toronto,,107002,30075783,12,,,,9761,Toronto Centre,27,13,4095934,"Buddies in Bad Times theatre is the biggest, and the longest-running queer theatre in the world.",Y,"{""coordinates"": [[-79.38307, 43.66331]], ""type"": ""MultiPoint""}"
22,,Budweiser Stage,Sports / Entertainment Venue,416-260-5600,,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,20100991,,20100991,909,Lake Shore Blvd W,909 Lake Shore Blvd W,M6K 3L3,former Toronto,Toronto,Budweiser Stage,107002,30021271,909,,,,1962,Spadina-Fort York,19,10,3194249,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.",Y,"{""coordinates"": [[-79.41512, 43.62921]], ""type"": ""MultiPoint""}"
23,,CAA Ed Mirvish Theatre,Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/ed-mirvish-theatre,14199877,,14199877,244,Victoria St,244 Victoria St,M5B 1V8,former Toronto,Toronto,,115001,7641770,244,,,,9790,Toronto Centre,27,13,2398205,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.",Y,"{""coordinates"": [[-79.37942, 43.65524]], ""type"": ""MultiPoint""}"
24,,CAA Theatre (formerly Panasonic Theatre),Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/caa-theatre,9941951,,9941951,651,Yonge St,651 Yonge St,M4Y 1Z9,former Toronto,Toronto,,115001,9941835,651,,,,4733,Toronto Centre,27,13,1888490,"Owned by Mirvish Productions, the CAA Theatre is the home of many famous theatrical productions.",Y,"{""coordinates"": [[-79.38572, 43.66803]], ""type"": ""MultiPoint""}"
25,,Campbell House,Museum,416-597-0227,,http://www.campbellhousemuseum.ca/,8067818,,8067818,160,Queen St W,160 Queen St W,M5H 3H3,former Toronto,Toronto,Sir William Campbell House Museum - Building Grounds,115001,8067830,160,,,,4238,Spadina-Fort York,20,10,3837738,The Campbell house dates back to 1822 and was once home to Judge William Campbell.  It is the last example of Palladian architecture in  Toronto.,Y,"{""coordinates"": [[-79.38732, 43.65105]], ""type"": ""MultiPoint""}"
26,,Canada's Walk of Fame,Landmark,416-367-9255,,https://www.canadaswalkoffame.com/,7929669,,7929669,215,King St W,215 King St W,M5V 1H8,former Toronto,Toronto,,115001,7929656,215,,,,3780,Spadina-Fort York,20,10,3836291,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,Y,"{""coordinates"": [[-79.38676, 43.64715]], ""type"": ""MultiPoint""}"
27,,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,7063040,,7063040,61,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,,114001,7063031,61,,,,1350,Etobicoke North,1,1,2361585,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,Y,"{""coordinates"": [[-79.62607, 43.73869]], ""type"": ""MultiPoint""}"
28,,Canadian Sculpture Centre,Gallery,647-435-5858,,https://www.sculptorssocietyofcanada.org/,30115345,,7730188,95,Moatfield Dr,95 Moatfield Dr,M3B 3L6,former Toronto,Toronto,,115001,7730338,500,,,,503,Don Valley East,26,16,2303768,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,N,"{""coordinates"": [[-79.35061, 43.75922]], ""type"": ""MultiPoint""}"
29,,Canadian Stage (Berkeley Street Theatre),Performing Arts,416-367-8243,,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,8354326,,8354326,26,Berkeley St,26 Berkeley St,M5A 2W3,former Toronto,Toronto,,115001,14036508,26,,,,2995,Toronto Centre,28,13,3277000,"Home to the Canadian Stage Company, the Berkeley Street Theatre presents an array of Canadian and international performances.",N,"{""coordinates"": [[-79.36395, 43.65066]], ""type"": ""MultiPoint""}"
30,,Casa Loma,Attraction,416-923-1171,,https://casaloma.ca/,10663925,,10663925,1,Austin Ter,1 Austin Ter,M5R 1X8,former Toronto,Toronto,,107010,10663924,1,,,,2922,Toronto-St. Paul's,22,12,2241692,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.",Y,"{""coordinates"": [[-79.40944, 43.67803]], ""type"": ""MultiPoint""}"
31,,Cedar Ridge Creative Centre,Gallery,416-396-4026,,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,322165,,322165,225,Confederation Dr,225 Confederation Dr,M1G 1B2,Scarborough,Toronto,,106007,109219,225,,,,7639,Scarborough-Guildwood,43,24,3838177,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.",Y,"{""coordinates"": [[-79.20709, 43.75744]], ""type"": ""MultiPoint""}"
32,,Centennial Park,Nature/ Park,416-394-8750,,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,7472090,,7472090,256,Centennial Park Rd,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,Centennial Park - Etobicoke,115001,30053225,256,,,,1322,Etobicoke Centre,3,2,3836085,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada's 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.",Y,"{""coordinates"": [[-79.59015, 43.65484]], ""type"": ""MultiPoint""}"
33,,Centennial Park Conservatory,Nature/ Park,416-394-8543,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,5495477,,5495477,151,Elmcrest Rd,151 Elmcrest Rd,M9C 3S1,Etobicoke,Toronto,,106001,30009179,151,,,,1543,Etobicoke Centre,3,2,4200895,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.",Y,"{""coordinates"": [[-79.58837, 43.64938]], ""type"": ""MultiPoint""}"
34,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centre Island Beach,Nature/ Park,416-392-2489,,http://app.toronto.ca/tpha/beach/5.html,8133372,,8133372,1,Avenue Of The Islands,1 Avenue Of The Islands,,former Toronto,Toronto,,115001,8128883,1,,,,11373,Spadina-Fort York,28,10,3363020,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,Y,"{""coordinates"": [[-79.37428, 43.61568]], ""type"": ""MultiPoint""}"
35,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centreville Amusement Park,Attraction,416-203-0405 (Summer) 416-234-2345 (Winter),,http://www.centreisland.ca/,8133385,,8133385,21,Avenue Of The Islands,21 Avenue Of The Islands,,former Toronto,Toronto,,115001,30084435,21,,,,11373,Spadina-Fort York,28,10,4159572,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.",Y,"{""coordinates"": [[-79.37354, 43.62029]], ""type"": ""MultiPoint""}"
36,,CF Fairview Mall,Landmark,416-491-0151,,https://www.cfshops.com/fairview-mall.html,14068149,,,1800,Sheppard Ave E,1800 Sheppard Ave E,M2J 5A7,North York,Toronto,,,,,,,,,Don Valley North,33,17,,An upscale shopping centre in the north eastern part of Toronto.,,"{""coordinates"": [[-79.34471, 43.77793]], ""type"": ""MultiPoint""}"
37,,CF Sherway Gardens,Landmark,416-621-1070,,https://www.cfshops.com/sherway-gardens.html,3327188,,,25,The West Mall,25 The West Mall,M9C 1B8,Etobicoke,Toronto,,,,,,,,,Etobicoke-Lakeshore,5,3,,An upscale shopping centre in Toronto's West end.,,"{""coordinates"": [[-79.55711, 43.61187]], ""type"": ""MultiPoint""}"
38,,CF Toronto Eaton Centre,Landmark,416-598-8560,,https://www.cfshops.com/toronto-eaton-centre.html,7762825,,7762825,220,Yonge St,220 Yonge St,M5B 2H1,former Toronto,Toronto,Eaton Centre,107010,7762785,220,,,,4733,Toronto Centre,27,13,1899690,The Toronto Eaton Centre is downtown Toronto's only shopping mall. It features over 200 stores and restaurants as well as the sculpture called Flightstop designed by Michael Snow.,Y,"{""coordinates"": [[-79.38072, 43.65438]], ""type"": ""MultiPoint""}"
39,,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,10495088,,10495088,1,Cherry St,1 Cherry St,M5A 0B7,former Toronto,Toronto,Cherry Beach Sports Fields,106005,30068422,275,,,,4587,Toronto-Danforth,30,14,4170002,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.",Y,"{""coordinates"": [[-79.34409, 43.63685]], ""type"": ""MultiPoint""}"
40,,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,,https://www.cccgt.org/,13504489,,13504489,5183,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto,,107010,30063121,5183,,,,6698,Scarborough North,42,23,3814396,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.",Y,"{""coordinates"": [[-79.234, 43.79446]], ""type"": ""MultiPoint""}"
41,,CN Tower,Attraction,416-868-6937,,http://www.cntower.ca/,30113619,,10598279,290,Bremner Blvd,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto,,107010,7929684,301,,,,3472,Spadina-Fort York,20,10,2252756,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.",Y,"{""coordinates"": [[-79.38707, 43.64256]], ""type"": ""MultiPoint""}"
42,,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,416-815-5982,,https://www.coca-colacoliseum.com/,13497818,,13497818,19,Nunavut Rd,19 Nunavut Rd,M6K 3C3,former Toronto,Toronto,CNE Coca-Cola Coliseum,107007,30060515,45,,,,3906,Spadina-Fort York,19,10,3800212,"Located at Exhibition Place, the Coca-Cola Coliseum is home to the Toronto Marlies (American Hockey League) and concerts.",Y,"{""coordinates"": [[-79.41528, 43.63489]], ""type"": ""MultiPoint""}"
43,,Colborne Lodge,Museum,416-392-6916,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,7730490,,7730490,11,Colborne Lodge Dr,11 Colborne Lodge Dr,M6S 5A3,former Toronto,Toronto,Colborne Lodge(Howard House),107008,30063345,11,,,,3197,Parkdale-High Park,13,4,3816049,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,Y,"{""coordinates"": [[-79.45998, 43.6404]], ""type"": ""MultiPoint""}"
44,,Dancemakers Centre for Creation,Performing Arts,416-367-1800,,http://dancemakers.org/,30032097,,30032097,410,Jarvis St,410 Jarvis St,M4Y 2G6,former Toronto,Toronto,,115001,30029438,9,,,,4574,Toronto Centre,27,13,3232761,"One of Toronto's professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.",N,"{""coordinates"": [[-79.37792, 43.66451]], ""type"": ""MultiPoint""}"
45,,Design Exchange,Museum,416-933-2919,,https://designexchangetoronto.com/,14206258,,14206258,234,Bay St,234 Bay St,M5K 1B2,former Toronto,Toronto,,115001,8087327,234,,,,2962,Spadina-Fort York,28,10,2593198,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,Y,"{""coordinates"": [[-79.38032, 43.64769]], ""type"": ""MultiPoint""}"
46,,Downsview Park,Nature/ Park,416-634-2559,,https://en.downsviewpark.ca/home,13494845,,13494845,70,Canuck Ave,70 Canuck Ave,M3K 2C5,North York,Toronto,,113001,6248382,35,,,,11506,York Centre,9,6,3011325,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.",Y,"{""coordinates"": [[-79.48417, 43.74388]], ""type"": ""MultiPoint""}"
47,,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-3718,,https://www.heritagetrust.on.ca/ewg/ewg-home,7762814,,7762814,189,Yonge St,189 Yonge St,M5B 1M4,former Toronto,Toronto,,107002,7762785,189,,,,4733,Toronto Centre,27,13,2001997,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,Y,"{""coordinates"": [[-79.37938, 43.65304]], ""type"": ""MultiPoint""}"
48,,Enercare Centre,Convention & Trade Centres,416-263-3000,,https://www.enercarecentre.com/,13497734,,13497734,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Direct Energy Centre,107007,14065264,100,,,,20228,Spadina-Fort York,19,10,4163968,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.",Y,"{""coordinates"": [[-79.41238, 43.63504]], ""type"": ""MultiPoint""}"
49,,Evergreen Brick Works,Attraction,416-596-7670,,http://www.evergreen.ca/get-involved/evergreen-brick-works/,17494,,17494,550,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,Don Valley Brick Works,113001,30071848,550,,,,24,University-Rosedale,29,11,4068255,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.",Y,"{""coordinates"": [[-79.36473, 43.68432]], ""type"": ""MultiPoint""}"
50,,Exhibition Place,Convention & Trade Centres,416-263-3000,,https://www.explace.on.ca/,13497734,,13497734,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,,107007,14065264,100,,,,20228,Spadina-Fort York,19,10,4163968,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.",Y,"{""coordinates"": [[-79.41238, 43.63509]], ""type"": ""MultiPoint""}"
51,,Factory Theatre,Performing Arts,416-504-9971,,https://www.factorytheatre.ca,8457322,,8457322,125,Bathurst St,125 Bathurst St,M5V 2R2,former Toronto,Toronto,,115001,8457317,125,,,,436,Spadina-Fort York,20,10,2383679,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.",Y,"{""coordinates"": [[-79.40282, 43.64547]], ""type"": ""MultiPoint""}"
52,,Famous People Players,Performing Arts,416-532-1137,,https://famouspeopleplayers.com/,30063014,,30063014,343,Evans Ave,343 Evans Ave,M8Z 1K2,Etobicoke,Toronto,,112001,913771,343,,,,1575,Etobicoke-Lakeshore,6,3,3814167,"Located in Toronto's West End, Famous PEOPLE Players allows visitors to immerse themselves in a unique dining experience while enjoying theatre in the dark.",Y,"{""coordinates"": [[-79.52066, 43.61501]], ""type"": ""MultiPoint""}"
53,,Fort York National Historic Site,Museum,416-392-6907,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,30104716,,30017954,250,Fort York Blvd,250 Fort York Blvd,M5V 3K9,former Toronto,Toronto,,104008,30013783,250,,,,15826,Spadina-Fort York,19,10,3004743,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.",Y,"{""coordinates"": [[-79.40417, 43.63924]], ""type"": ""MultiPoint""}"
54,,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231,,https://www.coc.ca/venue-information/fourseasonscentre,856378,,856378,145,Queen St W,145 Queen St W,M5H 4G1,former Toronto,Toronto,,107002,1145285,145,,,,4238,Spadina-Fort York,28,10,1884457,The Four Seasons Centre for the Performing Arts is home to the Canadian Opera Company and the National Ballet of Canada.,Y,"{""coordinates"": [[-79.38568, 43.65052]], ""type"": ""MultiPoint""}"
55,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West,Franklin Children's Garden,Garden / Conservatory,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,14258202,,14258202,30,Centre Island Pk,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto,,102008,1147832,30,,,,17507,Spadina-Fort York,28,10,1713485,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.",N,"{""coordinates"": [[-79.37627, 43.61615]], ""type"": ""MultiPoint""}"
56,,Gardiner Museum,Museum,416-586-8080,,https://www.gardinermuseum.on.ca/,8408486,,8408486,111,Queen's Park,111 Queen's Park,M5S 2C7,former Toronto,Toronto,,115001,8408484,111,,,,11267,University-Rosedale,27,11,2942367,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.",Y,"{""coordinates"": [[-79.39315, 43.66808]], ""type"": ""MultiPoint""}"
57,,George Ignatieff Theatre,Performing Arts,416-978-4166,,https://www.trinity.utoronto.ca/discover/catering-events/george-ignatieff-theatre/,8408609,,8408609,15,Devonshire Pl,15 Devonshire Pl,M5S 2C8,former Toronto,Toronto,,107002,8408578,15,,,,3293,University-Rosedale,20,11,2163690,"In the Trinity College community, the George Ignatieff Theatre acts as a creative hub ranging from events like theatre, conferences, and much more.",N,"{""coordinates"": [[-79.39715, 43.66557]], ""type"": ""MultiPoint""}"
