<<<<<<< HEAD
_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2021,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry,Latitude,Longitude,area
18,,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,14077650.0,,14077650.0,1,Brimley Rd S,1 Brimley Rd S,M1M 3W3,Scarborough,Toronto,Bluffer's Park,106001.0,30034748.0,1.0,,,,10496.0,Scarborough Southwest,36.0,20.0,3837195.0,"Providing a beautiful backdrop for locals and visitors alike, the Bluffs are one of Toronto's great natural wonders.",Y,"{""coordinates"": [[-79.23476772, 43.70820476]], ""type"": ""MultiPoint""}",43.70820476,-79.23476772,other
19,,BMO Field,Sports / Entertainment Venue,416-815-5982,,https://www.bmofield.com/,20229243.0,,20229243.0,170,Princes' Blvd,170 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE BMO Field,107007.0,20231258.0,170.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163950.0,"BMO Field is home to the Toronto FC (Major League Soccer), Canada's national soccer team, and the home of the Toronto Argonauts (Canadian Football League).",Y,"{""coordinates"": [[-79.41864, 43.63315]], ""type"": ""MultiPoint""}",43.63315,-79.41864,other
20,,Bubble Planet,Attraction,,,https://bubble-planet.com/toronto/,,,,30,Hanover Rd,30 Hanover Rd,M3K 0E2,North York,Toronto,,,,,,,,,York Centre,9.0,6.0,,"Bubble Planet is an immersive experience featuring VR technology, illusions, ball pits and more.",,"{""coordinates"": [[-79.46831, 43.73808]], ""type"": ""MultiPoint""}",43.73808,-79.46831,other
21,,Buddies in Bad Times Theatre,Performing Arts,416-975-8555,,https://buddiesinbadtimes.com/,7730175.0,,7730175.0,12,Alexander St,12 Alexander St,M4Y 1B4,former Toronto,Toronto,,107002.0,30075783.0,12.0,,,,9761.0,Toronto Centre,27.0,13.0,4095934.0,"Buddies in Bad Times theatre is the biggest, and the longest-running queer theatre in the world.",Y,"{""coordinates"": [[-79.38307, 43.66331]], ""type"": ""MultiPoint""}",43.66331,-79.38307,other
22,,Budweiser Stage,Sports / Entertainment Venue,416-260-5600,,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,20100991.0,,20100991.0,909,Lake Shore Blvd W,909 Lake Shore Blvd W,M6K 3L3,former Toronto,Toronto,Budweiser Stage,107002.0,30021271.0,909.0,,,,1962.0,Spadina-Fort York,19.0,10.0,3194249.0,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.",Y,"{""coordinates"": [[-79.41512, 43.62921]], ""type"": ""MultiPoint""}",43.62921,-79.41512,other
23,,CAA Ed Mirvish Theatre,Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/ed-mirvish-theatre,14199877.0,,14199877.0,244,Victoria St,244 Victoria St,M5B 1V8,former Toronto,Toronto,,115001.0,7641770.0,244.0,,,,9790.0,Toronto Centre,27.0,13.0,2398205.0,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.",Y,"{""coordinates"": [[-79.37942, 43.65524]], ""type"": ""MultiPoint""}",43.65524,-79.37942,downtown
24,,CAA Theatre (formerly Panasonic Theatre),Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/caa-theatre,9941951.0,,9941951.0,651,Yonge St,651 Yonge St,M4Y 1Z9,former Toronto,Toronto,,115001.0,9941835.0,651.0,,,,4733.0,Toronto Centre,27.0,13.0,1888490.0,"Owned by Mirvish Productions, the CAA Theatre is the home of many famous theatrical productions.",Y,"{""coordinates"": [[-79.38572, 43.66803]], ""type"": ""MultiPoint""}",43.66803,-79.38572,bloor
25,,Campbell House,Museum,416-597-0227,,http://www.campbellhousemuseum.ca/,8067818.0,,8067818.0,160,Queen St W,160 Queen St W,M5H 3H3,former Toronto,Toronto,Sir William Campbell House Museum - Building Grounds,115001.0,8067830.0,160.0,,,,4238.0,Spadina-Fort York,20.0,10.0,3837738.0,The Campbell house dates back to 1822 and was once home to Judge William Campbell.  It is the last example of Palladian architecture in  Toronto.,Y,"{""coordinates"": [[-79.38732, 43.65105]], ""type"": ""MultiPoint""}",43.65105,-79.38732,downtown
26,,Canada's Walk of Fame,Landmark,416-367-9255,,https://www.canadaswalkoffame.com/,7929669.0,,7929669.0,215,King St W,215 King St W,M5V 1H8,former Toronto,Toronto,,115001.0,7929656.0,215.0,,,,3780.0,Spadina-Fort York,20.0,10.0,3836291.0,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,Y,"{""coordinates"": [[-79.38676, 43.64715]], ""type"": ""MultiPoint""}",43.64715,-79.38676,downtown
27,,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277,,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,7063040.0,,7063040.0,61,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,,114001.0,7063031.0,61.0,,,,1350.0,Etobicoke North,1.0,1.0,2361585.0,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,Y,"{""coordinates"": [[-79.62607, 43.73869]], ""type"": ""MultiPoint""}",43.73869,-79.62607,other
28,,Canadian Sculpture Centre,Gallery,647-435-5858,,https://www.sculptorssocietyofcanada.org/,30115345.0,,7730188.0,95,Moatfield Dr,95 Moatfield Dr,M3B 3L6,former Toronto,Toronto,,115001.0,7730338.0,500.0,,,,503.0,Don Valley East,26.0,16.0,2303768.0,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,N,"{""coordinates"": [[-79.35061, 43.75922]], ""type"": ""MultiPoint""}",43.75922,-79.35061,other
29,,Canadian Stage (Berkeley Street Theatre),Performing Arts,416-367-8243,,https://www.canadianstage.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=berkeley&BOparam::WScontent::loadArticle::context_id=,8354326.0,,8354326.0,26,Berkeley St,26 Berkeley St,M5A 2W3,former Toronto,Toronto,,115001.0,14036508.0,26.0,,,,2995.0,Toronto Centre,28.0,13.0,3277000.0,"Home to the Canadian Stage Company, the Berkeley Street Theatre presents an array of Canadian and international performances.",N,"{""coordinates"": [[-79.36395, 43.65066]], ""type"": ""MultiPoint""}",43.65066,-79.36395,waterfront
30,,Casa Loma,Attraction,416-923-1171,,https://casaloma.ca/,10663925.0,,10663925.0,1,Austin Ter,1 Austin Ter,M5R 1X8,former Toronto,Toronto,,107010.0,10663924.0,1.0,,,,2922.0,Toronto-St. Paul's,22.0,12.0,2241692.0,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.",Y,"{""coordinates"": [[-79.40944, 43.67803]], ""type"": ""MultiPoint""}",43.67803,-79.40944,other
31,,Cedar Ridge Creative Centre,Gallery,416-396-4026,,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,322165.0,,322165.0,225,Confederation Dr,225 Confederation Dr,M1G 1B2,Scarborough,Toronto,,106007.0,109219.0,225.0,,,,7639.0,Scarborough-Guildwood,43.0,24.0,3838177.0,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.",Y,"{""coordinates"": [[-79.20709, 43.75744]], ""type"": ""MultiPoint""}",43.75744,-79.20709,other
32,,Centennial Park,Nature/ Park,416-394-8750,,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,7472090.0,,7472090.0,256,Centennial Park Rd,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,Centennial Park - Etobicoke,115001.0,30053225.0,256.0,,,,1322.0,Etobicoke Centre,3.0,2.0,3836085.0,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada's 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.",Y,"{""coordinates"": [[-79.59015, 43.65484]], ""type"": ""MultiPoint""}",43.65484,-79.59015,other
33,,Centennial Park Conservatory,Nature/ Park,416-394-8543,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,5495477.0,,5495477.0,151,Elmcrest Rd,151 Elmcrest Rd,M9C 3S1,Etobicoke,Toronto,,106001.0,30009179.0,151.0,,,,1543.0,Etobicoke Centre,3.0,2.0,4200895.0,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.",Y,"{""coordinates"": [[-79.58837, 43.64938]], ""type"": ""MultiPoint""}",43.64938,-79.58837,other
34,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centre Island Beach,Nature/ Park,416-392-2489,,http://app.toronto.ca/tpha/beach/5.html,8133372.0,,8133372.0,1,Avenue Of The Islands,1 Avenue Of The Islands,,former Toronto,Toronto,,115001.0,8128883.0,1.0,,,,11373.0,Spadina-Fort York,28.0,10.0,3363020.0,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,Y,"{""coordinates"": [[-79.37428, 43.61568]], ""type"": ""MultiPoint""}",43.61568,-79.37428,other
35,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centreville Amusement Park,Attraction,416-203-0405 (Summer) 416-234-2345 (Winter),,http://www.centreisland.ca/,8133385.0,,8133385.0,21,Avenue Of The Islands,21 Avenue Of The Islands,,former Toronto,Toronto,,115001.0,30084435.0,21.0,,,,11373.0,Spadina-Fort York,28.0,10.0,4159572.0,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.",Y,"{""coordinates"": [[-79.37354, 43.62029]], ""type"": ""MultiPoint""}",43.62029,-79.37354,other
36,,CF Fairview Mall,Landmark,416-491-0151,,https://www.cfshops.com/fairview-mall.html,14068149.0,,,1800,Sheppard Ave E,1800 Sheppard Ave E,M2J 5A7,North York,Toronto,,,,,,,,,Don Valley North,33.0,17.0,,An upscale shopping centre in the north eastern part of Toronto.,,"{""coordinates"": [[-79.34471, 43.77793]], ""type"": ""MultiPoint""}",43.77793,-79.34471,other
37,,CF Sherway Gardens,Landmark,416-621-1070,,https://www.cfshops.com/sherway-gardens.html,3327188.0,,,25,The West Mall,25 The West Mall,M9C 1B8,Etobicoke,Toronto,,,,,,,,,Etobicoke-Lakeshore,5.0,3.0,,An upscale shopping centre in Toronto's West end.,,"{""coordinates"": [[-79.55711, 43.61187]], ""type"": ""MultiPoint""}",43.61187,-79.55711,other
38,,CF Toronto Eaton Centre,Landmark,416-598-8560,,https://www.cfshops.com/toronto-eaton-centre.html,7762825.0,,7762825.0,220,Yonge St,220 Yonge St,M5B 2H1,former Toronto,Toronto,Eaton Centre,107010.0,7762785.0,220.0,,,,4733.0,Toronto Centre,27.0,13.0,1899690.0,The Toronto Eaton Centre is downtown Toronto's only shopping mall. It features over 200 stores and restaurants as well as the sculpture called Flightstop designed by Michael Snow.,Y,"{""coordinates"": [[-79.38072, 43.65438]], ""type"": ""MultiPoint""}",43.65438,-79.38072,downtown
39,,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,10495088.0,,10495088.0,1,Cherry St,1 Cherry St,M5A 0B7,former Toronto,Toronto,Cherry Beach Sports Fields,106005.0,30068422.0,275.0,,,,4587.0,Toronto-Danforth,30.0,14.0,4170002.0,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.",Y,"{""coordinates"": [[-79.34409, 43.63685]], ""type"": ""MultiPoint""}",43.63685,-79.34409,other
40,,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293,,https://www.cccgt.org/,13504489.0,,13504489.0,5183,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto,,107010.0,30063121.0,5183.0,,,,6698.0,Scarborough North,42.0,23.0,3814396.0,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.",Y,"{""coordinates"": [[-79.234, 43.79446]], ""type"": ""MultiPoint""}",43.79446,-79.234,other
41,,CN Tower,Attraction,416-868-6937,,http://www.cntower.ca/,30113619.0,,10598279.0,290,Bremner Blvd,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto,,107010.0,7929684.0,301.0,,,,3472.0,Spadina-Fort York,20.0,10.0,2252756.0,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.",Y,"{""coordinates"": [[-79.38707, 43.64256]], ""type"": ""MultiPoint""}",43.64256,-79.38707,downtown
42,,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,416-815-5982,,https://www.coca-colacoliseum.com/,13497818.0,,13497818.0,19,Nunavut Rd,19 Nunavut Rd,M6K 3C3,former Toronto,Toronto,CNE Coca-Cola Coliseum,107007.0,30060515.0,45.0,,,,3906.0,Spadina-Fort York,19.0,10.0,3800212.0,"Located at Exhibition Place, the Coca-Cola Coliseum is home to the Toronto Marlies (American Hockey League) and concerts.",Y,"{""coordinates"": [[-79.41528, 43.63489]], ""type"": ""MultiPoint""}",43.63489,-79.41528,other
43,,Colborne Lodge,Museum,416-392-6916,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,7730490.0,,7730490.0,11,Colborne Lodge Dr,11 Colborne Lodge Dr,M6S 5A3,former Toronto,Toronto,Colborne Lodge(Howard House),107008.0,30063345.0,11.0,,,,3197.0,Parkdale-High Park,13.0,4.0,3816049.0,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,Y,"{""coordinates"": [[-79.45998, 43.6404]], ""type"": ""MultiPoint""}",43.6404,-79.45998,other
44,,Dancemakers Centre for Creation,Performing Arts,416-367-1800,,http://dancemakers.org/,30032097.0,,30032097.0,410,Jarvis St,410 Jarvis St,M4Y 2G6,former Toronto,Toronto,,115001.0,30029438.0,9.0,,,,4574.0,Toronto Centre,27.0,13.0,3232761.0,"One of Toronto's professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.",N,"{""coordinates"": [[-79.37792, 43.66451]], ""type"": ""MultiPoint""}",43.66451,-79.37792,other
45,,Design Exchange,Museum,416-933-2919,,https://designexchangetoronto.com/,14206258.0,,14206258.0,234,Bay St,234 Bay St,M5K 1B2,former Toronto,Toronto,,115001.0,8087327.0,234.0,,,,2962.0,Spadina-Fort York,28.0,10.0,2593198.0,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,Y,"{""coordinates"": [[-79.38032, 43.64769]], ""type"": ""MultiPoint""}",43.64769,-79.38032,downtown
46,,Downsview Park,Nature/ Park,416-634-2559,,https://en.downsviewpark.ca/home,13494845.0,,13494845.0,70,Canuck Ave,70 Canuck Ave,M3K 2C5,North York,Toronto,,113001.0,6248382.0,35.0,,,,11506.0,York Centre,9.0,6.0,3011325.0,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.",Y,"{""coordinates"": [[-79.48417, 43.74388]], ""type"": ""MultiPoint""}",43.74388,-79.48417,other
47,,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-3718,,https://www.heritagetrust.on.ca/ewg/ewg-home,7762814.0,,7762814.0,189,Yonge St,189 Yonge St,M5B 1M4,former Toronto,Toronto,,107002.0,7762785.0,189.0,,,,4733.0,Toronto Centre,27.0,13.0,2001997.0,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,Y,"{""coordinates"": [[-79.37938, 43.65304]], ""type"": ""MultiPoint""}",43.65304,-79.37938,downtown
48,,Enercare Centre,Convention & Trade Centres,416-263-3000,,https://www.enercarecentre.com/,13497734.0,,13497734.0,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Direct Energy Centre,107007.0,14065264.0,100.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163968.0,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.",Y,"{""coordinates"": [[-79.41238, 43.63504]], ""type"": ""MultiPoint""}",43.63504,-79.41238,other
49,,Evergreen Brick Works,Attraction,416-596-7670,,http://www.evergreen.ca/get-involved/evergreen-brick-works/,17494.0,,17494.0,550,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,Don Valley Brick Works,113001.0,30071848.0,550.0,,,,24.0,University-Rosedale,29.0,11.0,4068255.0,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.",Y,"{""coordinates"": [[-79.36473, 43.68432]], ""type"": ""MultiPoint""}",43.68432,-79.36473,other
50,,Exhibition Place,Convention & Trade Centres,416-263-3000,,https://www.explace.on.ca/,13497734.0,,13497734.0,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,,107007.0,14065264.0,100.0,,,,20228.0,Spadina-Fort York,19.0,10.0,4163968.0,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.",Y,"{""coordinates"": [[-79.41238, 43.63509]], ""type"": ""MultiPoint""}",43.63509,-79.41238,other
51,,Factory Theatre,Performing Arts,416-504-9971,,https://www.factorytheatre.ca,8457322.0,,8457322.0,125,Bathurst St,125 Bathurst St,M5V 2R2,former Toronto,Toronto,,115001.0,8457317.0,125.0,,,,436.0,Spadina-Fort York,20.0,10.0,2383679.0,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.",Y,"{""coordinates"": [[-79.40282, 43.64547]], ""type"": ""MultiPoint""}",43.64547,-79.40282,other
